model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,hard_violations,soft_violations,hard_rate,soft_rate,temporal_score
darpa_one_net_scratch_down_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_one_net_scratch_up_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_one_net_scratch_original_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_neg_scratch_up_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_scratch_up_w10,0.9991853279551731,0.9788482815161501,0.9670384301498118,0.9713337940109542,4.784688995215311e-05,0.9986407041152683,41,0,0,0.0,0.0,0.9713337940109542
darpa_pretrained_down_w10,0.9991654579052993,0.999665743481998,0.9455516956367614,0.9699209626422767,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9699209626422767
darpa_neg_pretrained_original_w10,0.9991654579052993,0.999665743481998,0.9455516956367614,0.9699209626422767,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9699209626422767
darpa_neg_pretrained_down_w10,0.9991654579052993,0.999665743481998,0.9455516956367614,0.9699209626422767,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9699209626422767
darpa_neg_scratch_up_w100,0.9991648605118212,0.9621810512550634,0.9759589995774243,0.9670210260325237,9.585889570552147e-05,0.9986407041152683,42,0,0,0.0,0.0,0.9670210260325237
darpa_one_net_scratch_up_w100,0.9991648605118212,0.9621810512550634,0.9759589995774243,0.9670210260325237,9.585889570552147e-05,0.9986407041152683,42,0,0,0.0,0.0,0.9670210260325237
darpa_one_net_scratch_original_w100,0.9991648605118212,0.9621810512550634,0.9759589995774243,0.9670210260325237,9.585889570552147e-05,0.9986407041152683,42,0,0,0.0,0.0,0.9670210260325237
darpa_one_net_scratch_down_w100,0.9991648605118212,0.9621810512550634,0.9759589995774243,0.9670210260325237,9.585889570552147e-05,0.9986407041152683,42,0,0,0.0,0.0,0.9670210260325237
darpa_neg_pretrained_up_w10,0.9991654579052993,0.999665743481998,0.9402606903457561,0.9669043713903913,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9669043713903913
darpa_pretrained_original_w10,0.9991455878554255,0.9996578013337789,0.9336469337319996,0.9621392057193456,0.0,0.9985387569239134,43,0,0,0.0,0.0,0.9621392057193456
darpa_neg_scratch_down_w10,0.9991654579052993,0.9788403374721426,0.9508347264461081,0.9616075922633454,4.784688995215311e-05,0.99860672171815,42,0,0,0.0,0.0,0.9616075922633454
darpa_neg_scratch_original_w100,0.9991449762382931,0.978831818544208,0.938929950781696,0.9574883240999127,4.792944785276074e-05,0.9985727393210317,43,0,0,0.0,0.0,0.9574883240999127
darpa_neg_scratch_down_w100,0.9991449762382931,0.978831818544208,0.938929950781696,0.9574883240999127,4.792944785276074e-05,0.9985727393210317,43,0,0,0.0,0.0,0.9574883240999127
darpa_one_net_scratch_50data_w10,0.9991058477556779,0.9788165098919288,0.9432175642281598,0.9574850379676462,4.784688995215311e-05,0.9985047745267951,45,0,0,0.0,0.0,0.9574850379676462
darpa_one_net_scratch_down_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_one_net_scratch_up_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_one_net_scratch_original_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_neg_scratch_up_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_one_net_pretrained_down_w10,0.9991058477556779,0.9996419193124851,0.8979326480177138,0.9408566288988881,0.0,0.9984707921296768,45,0,0,0.0,0.0,0.9408566288988881
darpa_neg_scratch_original_w50,0.9990459342887241,0.9625966275908936,0.9246853879528315,0.9379439635555779,9.57670944263551e-05,0.9984368097325586,48,0,0,0.0,0.0,0.9379439635555779
darpa_neg_scratch_down_w50,0.9990459342887241,0.9625966275908936,0.9246853879528315,0.9379439635555779,9.57670944263551e-05,0.9984368097325586,48,0,0,0.0,0.0,0.9379439635555779
darpa_neg_scratch_50data_w10,0.9990661076559302,0.9996260403239923,0.887669983154263,0.9352548673532447,0.0,0.9984028273354403,47,0,0,0.0,0.0,0.9352548673532447
darpa_neg_scratch_original_w10,0.9991257178055517,0.9788244516601408,0.913797689409071,0.9348139194975081,4.784688995215311e-05,0.9985387569239134,44,0,0,0.0,0.0,0.9348139194975081
darpa_pretrained_up_w10,0.9991058477556779,0.9996419193124851,0.8837130712981373,0.9330462806793326,0.0,0.9984707921296768,45,0,0,0.0,0.0,0.9330462806793326
darpa_neg_pretrained_original_w50,0.9990260579197392,0.9996098663991465,0.8770823015161883,0.9297209372679182,0.0,0.9983348625412036,49,0,0,0.0,0.0,0.9297209372679182
darpa_scratch_up_w50,0.9990260579197392,0.9996098663991465,0.8628627247966117,0.9203232874610611,0.0,0.9983348625412036,49,0,0,0.0,0.0,0.9203232874610611
darpa_neg_pretrained_up_w50,0.9990061815507543,0.9996019235056209,0.8539341533680402,0.9121704506316707,0.0,0.9983008801440854,50,0,0,0.0,0.0,0.9121704506316707
darpa_scratch_up_w100,0.9990455548706528,0.9480460126145988,0.8519510630694879,0.8956408353214935,9.585889570552147e-05,0.9984368097325586,48,0,0,0.0,0.0,0.8956408353214935
darpa_one_net_pretrained_up_w10,0.9990263675561826,0.9996101643674319,0.8384088384939044,0.8954486681752621,0.0,0.9983348625412036,49,0,0,0.0,0.0,0.8954486681752621
darpa_neg_pretrained_down_w50,0.9989664288127845,0.999586039994905,0.8215267459606328,0.8918938692252962,0.0,0.9982329153498488,52,0,0,0.0,0.0,0.8918938692252962
darpa_pretrained_original_w50,0.9989266760748147,0.9995701595185786,0.7858124602463471,0.8677059824951333,0.0,0.9981649505556122,54,0,0,0.0,0.0,0.8677059824951333
darpa_pretrained_down_w50,0.9989266760748147,0.9995701595185786,0.7798600792939662,0.8645354814985454,0.0,0.9981649505556122,54,0,0,0.0,0.0,0.8645354814985454
darpa_neg_pretrained_down_w100,0.9989859020500687,0.9995935931149892,0.7881442882293541,0.8623538413996014,0.0,0.9982668977469671,51,0,0,0.0,0.0,0.8623538413996014
darpa_pretrained_down_w100,0.9989859020500687,0.9995935931149892,0.7881442882293541,0.8623538413996014,0.0,0.9982668977469671,51,0,0,0.0,0.0,0.8623538413996014
darpa_neg_pretrained_up_w100,0.9990057863235967,0.9996015428261771,0.780538468123534,0.8608038243162585,0.0,0.9983008801440854,50,0,0,0.0,0.0,0.8608038243162585
darpa_pretrained_up_w50,0.9989266760748147,0.9995701595185786,0.7825055819394687,0.8601968249859758,0.0,0.9981649505556122,54,0,0,0.0,0.0,0.8601968249859758
darpa_one_net_pretrained_up_w50,0.9989067997058297,0.9995622204180398,0.7699394443733311,0.845416118541884,0.0,0.9981309681584939,55,0,0,0.0,0.0,0.845416118541884
darpa_one_net_pretrained_up_w100,0.9989461335030124,0.9757761005430142,0.7656495275012727,0.8357918613556089,4.792944785276074e-05,0.9982329153498488,53,0,0,0.0,0.0,0.8357918613556089
darpa_pretrained_up_w100,0.9989461335030124,0.9995776959729725,0.7448241824092482,0.8330140936986988,0.0,0.9981989329527304,53,0,0,0.0,0.0,0.8330140936986988
darpa_one_net_pretrained_down_w50,0.9988869233368448,0.999554282075772,0.7487754232093101,0.8319837371658455,0.0,0.9980969857613756,56,0,0,0.0,0.0,0.8319837371658455
darpa_neg_pretrained_original_w100,0.9989461335030124,0.9995776959729725,0.7405252406103063,0.8234569841415892,0.0,0.9981989329527304,53,0,0,0.0,0.0,0.8234569841415892
darpa_one_net_pretrained_down_w100,0.9989262492294844,0.9662443424491617,0.7405172523689975,0.8161269826057559,4.792944785276074e-05,0.9981989329527304,54,0,0,0.0,0.0,0.8161269826057559
darpa_pretrained_original_w100,0.9989262492294844,0.9995697485419256,0.7286204787055445,0.8133519901420868,0.0,0.9981649505556122,54,0,0,0.0,0.0,0.8133519901420868
darpa_scratch_down_w10,0.9990263675561826,0.812118083735141,0.8026865782979599,0.8059424860091117,4.784688995215311e-05,0.9983688449383219,49,0,0,0.0,0.0,0.8059424860091117
darpa_one_net_pretrained_original_w10,0.9988872772070658,0.9995546223834065,0.7352342353193011,0.7992723680842174,0.0,0.9980969857613756,56,0,0,0.0,0.0,0.7992723680842174
darpa_scratch_down_w100,0.9989859020500687,0.8121015237730917,0.7722632841150294,0.7907897748015463,4.792944785276074e-05,0.9983008801440854,51,0,0,0.0,0.0,0.7907897748015463
darpa_scratch_down_w50,0.9989067997058297,0.7958743553680262,0.7788520546194982,0.7823605420219204,9.57670944263551e-05,0.9981989329527304,55,0,0,0.0,0.0,0.7823605420219204
darpa_one_net_pretrained_original_w100,0.9988467121353721,0.9578792224346717,0.6862844481361935,0.7643032068753893,4.792944785276074e-05,0.9980630033642574,58,0,0,0.0,0.0,0.7643032068753893
darpa_one_net_pretrained_original_w50,0.9987279123849655,0.9994908026223666,0.6088944708283576,0.7073006316655924,0.0,0.9978251265844292,64,0,0,0.0,0.0,0.7073006316655924
darpa_scratch_original_w10,0.9984898762095893,0.3327294685990338,0.33311783320289906,0.3329230332238142,0.0,0.9974173378190098,76,0,0,0.0,0.0,0.3329230332238142
darpa_scratch_original_w100,0.998488795211867,0.33272843043616684,0.33311783320289906,0.3329225122549024,0.0,0.9974173378190098,76,0,0,0.0,0.0,0.3329225122549024
darpa_scratch_original_w50,0.9984297668501918,0.3327052425702428,0.33310082003470687,0.33290235728809076,0.0,0.9973153906276548,79,0,0,0.0,0.0,0.33290235728809076
